,0,1,2,3,addr
324,GWF,STO,LASTONPER,,GWF/STO/LASTONPER
325,GWF,STO,ISTOR_COEF,,GWF/STO/ISTOR_COEF
326,GWF,STO,ICONF_SS,,GWF/STO/ICONF_SS
327,GWF,STO,IORIG_SS,,GWF/STO/IORIG_SS
328,GWF,STO,IUSESY,,GWF/STO/IUSESY
329,GWF,STO,SATOMEGA,,GWF/STO/SATOMEGA
330,GWF,STO,INTEGRATECHANGES,,GWF/STO/INTEGRATECHANGES
331,GWF,STO,INTVS,,GWF/STO/INTVS
332,GWF,CSUB,INPUT_FNAME,,GWF/CSUB/INPUT_FNAME
333,GWF,CSUB,PACKAGE_TYPE,,GWF/CSUB/PACKAGE_TYPE
334,GWF,CSUB,ID,,GWF/CSUB/ID
335,GWF,CSUB,INUNIT,,GWF/CSUB/INUNIT
336,GWF,CSUB,IOUT,,GWF/CSUB/IOUT
337,GWF,CSUB,INEWTON,,GWF/CSUB/INEWTON
338,GWF,CSUB,IASYM,,GWF/CSUB/IASYM
339,GWF,CSUB,IPRPAK,,GWF/CSUB/IPRPAK
340,GWF,CSUB,IPRFLOW,,GWF/CSUB/IPRFLOW
341,GWF,CSUB,IPAKCB,,GWF/CSUB/IPAKCB
342,GWF,CSUB,IONPER,,GWF/CSUB/IONPER
343,GWF,CSUB,LASTONPER,,GWF/CSUB/LASTONPER
344,GWF,CSUB,LISTLABEL,,GWF/CSUB/LISTLABEL
345,GWF,CSUB,STONAME,,GWF/CSUB/STONAME
346,GWF,CSUB,ISTOUNIT,,GWF/CSUB/ISTOUNIT
347,GWF,CSUB,INOBSPKG,,GWF/CSUB/INOBSPKG
348,GWF,CSUB,NINTERBEDS,,GWF/CSUB/NINTERBEDS
349,GWF,CSUB,MAXSIG0,,GWF/CSUB/MAXSIG0
350,GWF,CSUB,NBOUND,,GWF/CSUB/NBOUND
351,GWF,CSUB,ISCLOC,,GWF/CSUB/ISCLOC
352,GWF,CSUB,IAUXMULTCOL,,GWF/CSUB/IAUXMULTCOL
353,GWF,CSUB,NDELAYCELLS,,GWF/CSUB/NDELAYCELLS
354,GWF,CSUB,NDELAYBEDS,,GWF/CSUB/NDELAYBEDS
355,GWF,CSUB,INITIALIZED,,GWF/CSUB/INITIALIZED
356,GWF,CSUB,IESLAG,,GWF/CSUB/IESLAG
357,GWF,CSUB,IPCH,,GWF/CSUB/IPCH
